File Name,Kind,Bitrate,Sample Rate,Bit Depth,Compilation,Album,Album Artist,Artist,Track №,Tracks,Duration,Title,Genre,Grouping,Comments,Description,Date Created
Track 1.flac,FLAC,1 kbps,44100 Hz,24 Bit,1,Sampler Album Template,Album Artist,Various Artists,1,20,01:30,Track 1,Genre,Grouping,Description,Description,"11/23/21, 1:52 PM"
Track 2.flac,FLAC,1 kbps,44100 Hz,24 Bit,1,Sampler Album Template,Album Artist,Various Artists,2,20,01:30,Track 2,Genre,Grouping,Description,Description,"11/23/21, 1:52 PM"
Track 3.flac,FLAC,1 kbps,44100 Hz,24 Bit,1,Sampler Album Template,Album Artist,Various Artists,3,20,01:30,Track 3,Genre,Grouping,Description,Description,"11/23/21, 1:52 PM"
Track 4.flac,FLAC,1 kbps,44100 Hz,24 Bit,1,Sampler Album Template,Album Artist,Various Artists,4,20,01:30,Track 4,Genre,Grouping,Description,Description,"11/23/21, 1:52 PM"
Track 5.flac,FLAC,1 kbps,44100 Hz,24 Bit,1,Sampler Album Template,Album Artist,Various Artists,5,20,01:30,Track 5,Genre,Grouping,Description,Description,"11/23/21, 1:52 PM"
Track 6.flac,FLAC,1 kbps,44100 Hz,24 Bit,1,Sampler Album Template,Album Artist,Various Artists,6,20,01:30,Track 6,Genre,Grouping,Description,Description,"11/23/21, 1:52 PM"
Track 7.flac,FLAC,1 kbps,44100 Hz,24 Bit,1,Sampler Album Template,Album Artist,Various Artists,7,20,01:30,Track 7,Genre,Grouping,Description,Description,"11/23/21, 1:52 PM"
Track 8.flac,FLAC,1 kbps,44100 Hz,24 Bit,1,Sampler Album Template,Album Artist,Various Artists,8,20,01:30,Track 8,Genre,Grouping,Description,Description,"11/23/21, 1:52 PM"
Track 9.flac,FLAC,1 kbps,44100 Hz,24 Bit,1,Sampler Album Template,Album Artist,Various Artists,9,20,01:30,Track 9,Genre,Grouping,Description,Description,"11/23/21, 1:52 PM"
Track 10.flac,FLAC,1 kbps,44100 Hz,24 Bit,1,Sampler Album Template,Album Artist,Various Artists,10,20,01:30,Track 10,Genre,Grouping,Description,Description,"11/23/21, 1:52 PM"
Track 11.flac,FLAC,1 kbps,44100 Hz,24 Bit,1,Sampler Album Template,Album Artist,Various Artists,11,20,01:30,Track 11,Genre,Grouping,Description,Description,"11/23/21, 1:52 PM"
Track 12.flac,FLAC,1 kbps,44100 Hz,24 Bit,1,Sampler Album Template,Album Artist,Various Artists,12,20,01:30,Track 12,Genre,Grouping,Description,Description,"11/23/21, 1:52 PM"
Track 13.flac,FLAC,1 kbps,44100 Hz,24 Bit,1,Sampler Album Template,Album Artist,Various Artists,13,20,01:30,Track 13,Genre,Grouping,Description,Description,"11/23/21, 1:52 PM"
Track 14.flac,FLAC,1 kbps,44100 Hz,24 Bit,1,Sampler Album Template,Album Artist,Various Artists,14,20,01:30,Track 14,Genre,Grouping,Description,Description,"11/23/21, 1:52 PM"
Track 15.flac,FLAC,1 kbps,44100 Hz,24 Bit,1,Sampler Album Template,Album Artist,Various Artists,15,20,01:30,Track 15,Genre,Grouping,Description,Description,"11/23/21, 1:52 PM"
Track 16.flac,FLAC,1 kbps,44100 Hz,24 Bit,1,Sampler Album Template,Album Artist,Various Artists,16,20,01:30,Track 16,Genre,Grouping,Description,Description,"11/23/21, 1:52 PM"
Track 17.flac,FLAC,1 kbps,44100 Hz,24 Bit,1,Sampler Album Template,Album Artist,Various Artists,17,20,01:30,Track 17,Genre,Grouping,Description,Description,"11/23/21, 1:52 PM"
Track 18.flac,FLAC,1 kbps,44100 Hz,24 Bit,1,Sampler Album Template,Album Artist,Various Artists,18,20,01:30,Track 18,Genre,Grouping,Description,Description,"11/23/21, 1:52 PM"
Track 19.flac,FLAC,1 kbps,44100 Hz,24 Bit,1,Sampler Album Template,Album Artist,Various Artists,19,20,01:30,Track 19,Genre,Grouping,Description,Description,"11/23/21, 1:52 PM"
Track 20.flac,FLAC,1 kbps,44100 Hz,24 Bit,1,Sampler Album Template,Album Artist,Various Artists,20,20,01:30,Track 20,Genre,Grouping,Description,Description,"11/23/21, 1:52 PM"
